,time,datetime,temperature_2m
92,1609790400000,2021-01-04 20:00:00,0.20916137695314774
93,1609794000000,2021-01-04 21:00:00,0.17972717285158524
94,1609797600000,2021-01-04 22:00:00,0.24677429199221024
95,1609801200000,2021-01-04 23:00:00,0.26755676269533524
96,1609804800000,2021-01-05 00:00:00,0.25769958496096024
97,1609808400000,2021-01-05 01:00:00,0.26270446777346024
98,1609812000000,2021-01-05 02:00:00,0.27568969726564774
99,1609815600000,2021-01-05 03:00:00,0.33626708984377274
100,1609819200000,2021-01-05 04:00:00,0.32892761230471024
101,1609822800000,2021-01-05 05:00:00,0.47921142578127274
102,1609826400000,2021-01-05 06:00:00,0.42455444335939774
103,1609830000000,2021-01-05 07:00:00,0.46482238769533524
104,1609833600000,2021-01-05 08:00:00,0.5619445800781477
105,1609837200000,2021-01-05 09:00:00,0.9283996582031477
106,1609840800000,2021-01-05 10:00:00,1.3247314453125227
107,1609844400000,2021-01-05 11:00:00,1.7891326904297102
108,1609848000000,2021-01-05 12:00:00,2.3710266113281477
109,1609851600000,2021-01-05 13:00:00,2.8503967285156477
110,1609855200000,2021-01-05 14:00:00,2.9727111816406477
111,1609858800000,2021-01-05 15:00:00,2.7256103515625227
112,1609862400000,2021-01-05 16:00:00,2.2581420898437727
113,1609866000000,2021-01-05 17:00:00,1.7656951904297102
114,1609869600000,2021-01-05 18:00:00,1.5351959228515852
115,1609873200000,2021-01-05 19:00:00,1.7419525146484602
116,1609876800000,2021-01-05 20:00:00,1.6206756591797102
117,1609880400000,2021-01-05 21:00:00,1.5666748046875227
118,1609884000000,2021-01-05 22:00:00,0.9469543457031477
119,1609887600000,2021-01-05 23:00:00,0.5117584228515852
120,1609891200000,2021-01-06 00:00:00,0.25170288085939774
121,1609894800000,2021-01-06 01:00:00,0.35309753417971024
122,1609898400000,2021-01-06 02:00:00,0.44851074218752274
123,1609902000000,2021-01-06 03:00:00,0.33339843750002274
124,1609905600000,2021-01-06 04:00:00,0.20821533203127274
125,1609909200000,2021-01-06 05:00:00,0.05707702636721024
126,1609912800000,2021-01-06 06:00:00,0.07911071777346024
127,1609916400000,2021-01-06 07:00:00,-0.40485229492185226
128,1609920000000,2021-01-06 08:00:00,-0.30240478515622726
129,1609923600000,2021-01-06 09:00:00,0.11126098632814774
130,1609927200000,2021-01-06 10:00:00,0.8038574218750227
131,1609930800000,2021-01-06 11:00:00,1.2613922119140852
132,1609934400000,2021-01-06 12:00:00,1.6498199462890852
133,1609938000000,2021-01-06 13:00:00,1.7274108886718977
134,1609941600000,2021-01-06 14:00:00,1.6293731689453352
135,1609945200000,2021-01-06 15:00:00,1.3846679687500227
136,1609948800000,2021-01-06 16:00:00,0.8542724609375227
137,1609952400000,2021-01-06 17:00:00,0.7269836425781477
138,1609956000000,2021-01-06 18:00:00,0.7543579101562727
139,1609959600000,2021-01-06 19:00:00,1.0478607177734602
140,1609963200000,2021-01-06 20:00:00,1.0827117919922102
141,1609966800000,2021-01-06 21:00:00,1.0308471679687727
142,1609970400000,2021-01-06 22:00:00,0.9731079101562727
143,1609974000000,2021-01-06 23:00:00,0.8281951904297102
144,1609977600000,2021-01-07 00:00:00,0.7873779296875227
145,1609981200000,2021-01-07 01:00:00,0.9328552246093977
146,1609984800000,2021-01-07 02:00:00,0.8605133056640852
147,1609988400000,2021-01-07 03:00:00,0.7337280273437727
148,1609992000000,2021-01-07 04:00:00,0.6198669433593977
149,1609995600000,2021-01-07 05:00:00,0.5928894042968977
150,1609999200000,2021-01-07 06:00:00,0.26926574707033524
151,1610002800000,2021-01-07 07:00:00,0.43598327636721024
152,1610006400000,2021-01-07 08:00:00,0.42511901855471024
153,1610010000000,2021-01-07 09:00:00,0.6917968750000227
154,1610013600000,2021-01-07 10:00:00,1.3068176269531477
155,1610017200000,2021-01-07 11:00:00,2.2015777587890852
156,1610020800000,2021-01-07 12:00:00,2.6754699707031477
157,1610024400000,2021-01-07 13:00:00,2.9749389648437727
158,1610028000000,2021-01-07 14:00:00,2.2409149169922102
159,1610031600000,2021-01-07 15:00:00,1.8297210693359602
160,1610035200000,2021-01-07 16:00:00,0.8918090820312727
161,1610038800000,2021-01-07 17:00:00,0.41837463378908524
162,1610042400000,2021-01-07 18:00:00,0.26688537597658524
163,1610046000000,2021-01-07 19:00:00,0.08901367187502274
164,1610049600000,2021-01-07 20:00:00,-0.08510437011716476
165,1610053200000,2021-01-07 21:00:00,0.015039062500022737
166,1610056800000,2021-01-07 22:00:00,0.15044555664064774
167,1610060400000,2021-01-07 23:00:00,0.18862304687502274
168,1610064000000,2021-01-08 00:00:00,0.20182189941408524
169,1610067600000,2021-01-08 01:00:00,0.22442016601564774
170,1610071200000,2021-01-08 02:00:00,0.25321350097658524
171,1610074800000,2021-01-08 03:00:00,0.25277099609377274
172,1610078400000,2021-01-08 04:00:00,0.18680725097658524
173,1610082000000,2021-01-08 05:00:00,0.05803833007814774
174,1610085600000,2021-01-08 06:00:00,0.20392761230471024
175,1610089200000,2021-01-08 07:00:00,0.21929321289064774
176,1610092800000,2021-01-08 08:00:00,0.28882751464846024
177,1610096400000,2021-01-08 09:00:00,0.5239654541015852
178,1610100000000,2021-01-08 10:00:00,0.8881622314453352
179,1610103600000,2021-01-08 11:00:00,1.2849365234375227
180,1610107200000,2021-01-08 12:00:00,1.3689056396484602
181,1610110800000,2021-01-08 13:00:00,1.5416809082031477
182,1610114400000,2021-01-08 14:00:00,1.5337768554687727
183,1610118000000,2021-01-08 15:00:00,1.4117523193359602
184,1610121600000,2021-01-08 16:00:00,1.1472412109375227
185,1610125200000,2021-01-08 17:00:00,0.9492889404297102
186,1610128800000,2021-01-08 18:00:00,0.7204833984375227
187,1610132400000,2021-01-08 19:00:00,0.7211395263672102
188,1610136000000,2021-01-08 20:00:00,0.38422546386721024
189,1610139600000,2021-01-08 21:00:00,0.11243591308596024
190,1610143200000,2021-01-08 22:00:00,-0.44220581054685226
191,1610146800000,2021-01-08 23:00:00,-0.9894470214843523
192,1610150400000,2021-01-09 00:00:00,-0.6675018310546648
193,1610154000000,2021-01-09 01:00:00,0.10909423828127274
194,1610157600000,2021-01-09 02:00:00,-1.0104125976562273
195,1610161200000,2021-01-09 03:00:00,-2.0816864013671648
196,1610164800000,2021-01-09 04:00:00,-1.2923187255859148
197,1610168400000,2021-01-09 05:00:00,-1.2351287841796648
198,1610172000000,2021-01-09 06:00:00,-1.4169219970702898
199,1610175600000,2021-01-09 07:00:00,-0.48186340332028976
200,1610179200000,2021-01-09 08:00:00,-0.45509948730466476
201,1610182800000,2021-01-09 09:00:00,-0.32668151855466476
202,1610186400000,2021-01-09 10:00:00,-0.03366699218747726
203,1610190000000,2021-01-09 11:00:00,0.19001159667971024
204,1610193600000,2021-01-09 12:00:00,0.33059082031252274
205,1610197200000,2021-01-09 13:00:00,0.43630371093752274
206,1610200800000,2021-01-09 14:00:00,0.41741333007814774
207,1610204400000,2021-01-09 15:00:00,0.17478332519533524
208,1610208000000,2021-01-09 16:00:00,-0.22026672363278976
209,1610211600000,2021-01-09 17:00:00,-0.5313171386718523
210,1610215200000,2021-01-09 18:00:00,-0.8766693115234148
211,1610218800000,2021-01-09 19:00:00,-1.5879425048827898
212,1610222400000,2021-01-09 20:00:00,-2.9579986572265398
213,1610226000000,2021-01-09 21:00:00,-3.5524658203124773
214,1610229600000,2021-01-09 22:00:00,-3.7519134521484148
215,1610233200000,2021-01-09 23:00:00,-4.121374511718727
216,1610236800000,2021-01-10 00:00:00,-4.20439758300779
217,1610240400000,2021-01-10 01:00:00,-4.237982177734352
218,1610244000000,2021-01-10 02:00:00,-4.326177978515602
219,1610247600000,2021-01-10 03:00:00,-4.322027587890602
220,1610251200000,2021-01-10 04:00:00,-4.65532531738279
221,1610254800000,2021-01-10 05:00:00,-4.762701416015602
222,1610258400000,2021-01-10 06:00:00,-5.066839599609352
223,1610262000000,2021-01-10 07:00:00,-5.605429077148415
224,1610265600000,2021-01-10 08:00:00,-4.982565307617165
225,1610269200000,2021-01-10 09:00:00,-3.9016021728515398
226,1610272800000,2021-01-10 10:00:00,-3.1348937988281023
227,1610276400000,2021-01-10 11:00:00,0.08658752441408524
228,1610280000000,2021-01-10 12:00:00,0.8920989990234602
229,1610283600000,2021-01-10 13:00:00,1.0583587646484602
230,1610287200000,2021-01-10 14:00:00,0.8902679443359602
231,1610290800000,2021-01-10 15:00:00,0.47709045410158524
232,1610294400000,2021-01-10 16:00:00,-0.5901245117187273
233,1610298000000,2021-01-10 17:00:00,-1.5343536376952898
234,1610301600000,2021-01-10 18:00:00,-2.1880401611327898
