FID;GW_NUMMER;NAME;RECHTSWERT;HOCHWERT;GEMEINDE_K;AQUIFER_KZ;EINZUGSGEB;HYDROGEOLE;HYDROGEOL2;MESSNETZ1_;MESSNETZ2_;GEMEINDE;AQUIFER;EINZUGSGE2;HYDROGEOL3;MESSNETZ1;MESSNETZ2;RASTERVALU
0;1/022-9;QSS HERTINGERQU.1+2, KANDERN;3395475,000000000000000;5288420,000000000000000;8336104,000000000000000;31,000000000000000;2333220000,000000000000000;11,000000000000000;2,000000000000000; ; ;MALSBURG-MARZELL;MALM WEIßJURA (SCHWÄBISCHE ALB);Engebach;Oberjura (Raurasische Fazies) (GWL);#800000000010;#800000000002;311
1;1/117-3;QF KREBSBRUNNENQ., ETTENHEIM;3419400,000000000000000;5345550,000000000000000;8317026,000000000000000;81,000000000000000;2338940000,000000000000000;45,000000000000000;69,000000000000000; ; ;ETTENHEIM, STADT;BUNTSANDSTEIN;Ettenbach;Unterer und Mittlerer Buntsandstein (GWL);#800000000010;#800000000002;311
2;1/119-9;TB SCHLAGBR.4, VOERSTETTEN;3414860,000000000000000;5325450,000000000000000;8316045,000000000000000;4,000000000000000;2338892200,000000000000000;3,000000000000000;8,000000000000000; ; ;VÖRSTETTEN;QUARTÄR EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Schobbach;Quartäre Kiese und Sande (GWL);#800000000012; ;211
3;1/120-8;QF2 KLEISLEWALDQ., ZASTLER;3423200,000000000000000;5309100,000000000000000;8315084,000000000000000;91,000000000000000;2338830000,000000000000000;50,000000000000000;18,000000000000000; ; ;OBERRIED;KRISTALLIN (SCHWARZWALD);Dreisam unterh. Wagensteigbach oberh. Brugga;Paläozoikum, Kristallin (GWG);#800000000010;#800000000002;312
4;1/121-0;Q STOLLENQUELLE HINTERES ELEND, MÜNSTERTAL;3413785,000000000000000;5303338,000000000000000;8315130,000000000000000;91,000000000000000;2336410000,000000000000000;50,000000000000000;18,000000000000000; ; ;MÜNSTERTAL/ SCHWARZWALD;KRISTALLIN (SCHWARZWALD);Neumagen oberhalb von Talbach;Paläozoikum, Kristallin (GWG);#800000000010;#800000000002;231
5;1/162-8;TB RATHAUSPLATZ, HUEGELSHEIM;3434775,000000000000000;5407050,000000000000000;8216022,000000000000000;4,000000000000000;2357900000,000000000000000;3,000000000000000;8,000000000000000; ; ;HÜGELSHEIM;QUARTÄR EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Rhein unterh. Acher oberh. Sauer;Quartäre Kiese und Sande (GWL);#800000000013; ;112
6;1/172-1;QF LANGENWALDQU. 2, TODTMOOS;3425330,000000000000000;5292580,000000000000000;8337108,000000000000000;91,000000000000000;2314100000,000000000000000;50,000000000000000;18,000000000000000; ; ;TODTMOOS;KRISTALLIN (SCHWARZWALD);Wehra oberhalb von Sägelochbach;Paläozoikum, Kristallin (GWG);#800000000010;#800000000002;313
7;1/173-4;QF 1 SAEGEBUCK, WT-OBERALPF.;3434850,000000000000000;5281250,000000000000000;8337126,000000000000000;81,000000000000000;2312800000,000000000000000;50,000000000000000;18,000000000000000; ; ;WALDSHUT-TIENGEN, STADT;BUNTSANDSTEIN;Steinbach;Paläozoikum, Kristallin (GWG);#800000000010;#800000000002;312
8;1/214-0;QF 2 ROTENBACHQ., OPPENAU;3441890,000000000000000;5374100,000000000000000;8317098,000000000000000;81,000000000000000;2354400000,000000000000000;50,000000000000000;18,000000000000000; ; ;OPPENAU, STADT;BUNTSANDSTEIN;Lierbach;Paläozoikum, Kristallin (GWG);#800000000010;#800000000002;312
9;1/219-3;QF ROESSLEQUELLE, FURTWANGEN;3438840,000000000000000;5321010,000000000000000;8326017,000000000000000;91,000000000000000;2338412000,000000000000000;50,000000000000000;18,000000000000000; ; ;FURTWANGEN IM SCHWARZWALD, STADT;KRISTALLIN (SCHWARZWALD);Heubach;Paläozoikum, Kristallin (GWG);#800000000010;#800000000002;231
10;1/223-0;QF STOLLENQU.1, WT-TIENGEN;3446200,000000000000000;5279490,000000000000000;8337126,000000000000000;72,000000000000000;2198790000,000000000000000;31,000000000000000;212,000000000000000; ; ;WALDSHUT-TIENGEN, STADT;MUSCHELKALK;Wutach unterh. Steina oberh. Schlücht;Oberer Muschelkalk (GWL);#800000000010;#800000000002;311
11;1/264-8;TB SCHWARZBR., IGELSBERG;3460825,000000000000000;5379085,000000000000000;8237028,000000000000000;81,000000000000000;2384412000,000000000000000;45,000000000000000;54,000000000000000; ; ;FREUDENSTADT, STADT;BUNTSANDSTEIN;Stutzbach;Unterer und Mittlerer Buntsandstein (GWL);#800000000018; ;231
12;1/265-0;QF JAEGERBRUNNENQUELLE, FDS;3453750,000000000000000;5366570,000000000000000;8237028,000000000000000;81,000000000000000;2341210000,000000000000000;45,000000000000000;40,000000000000000; ; ;FREUDENSTADT, STADT;BUNTSANDSTEIN;Kleine Kinzig oberhalb von Huttenbächle;Unterer und Mittlerer Buntsandstein (GWL);#800000000010;#800000000002;312
13;1/266-3;QF GUTEKUNSTQ., ALPIRSBACH;3457175,000000000000000;5354345,000000000000000;8237002,000000000000000;81,000000000000000;2341160000,000000000000000;40,000000000000000;93,000000000000000; ; ;ALPIRSBACH, STADT;BUNTSANDSTEIN;Rötenbach;Oberer Buntsandstein bis Mittlerer Muschelkalk (GWG);#800000000014; ;312
14;1/269-1;BBR  TANNHEIM;3456190,000000000000000;5319230,000000000000000;8326074,000000000000000;81,000000000000000;1111720000,000000000000000;40,000000000000000;163,000000000000000; ; ;VILLINGEN-SCHWENNINGEN, STADT;BUNTSANDSTEIN;Weiherbach;Oberer Buntsandstein bis Mittlerer Muschelkalk (GWG);#800000000018; ;312
15;1/270-0;QF UNTERE HETZELQU., BRIGACHTAL;3458300,000000000000000;5316930,000000000000000;8326075,000000000000000;72,000000000000000;1112900000,000000000000000;40,000000000000000;163,000000000000000; ; ;BRIGACHTAL;MUSCHELKALK;Brigach unterhalb von Holenbach;Oberer Buntsandstein bis Mittlerer Muschelkalk (GWG);#800000000010; ;312
16;1/272-6;QF EICHTAL, OBEREGGINGEN;3453170,000000000000000;5284775,000000000000000;8337124,000000000000000;72,000000000000000;2198540000,000000000000000;31,000000000000000;208,000000000000000; ; ;EGGINGEN;MUSCHELKALK;Mauchenbach;Oberer Muschelkalk (GWL);#800000000012; ;313
17;1/311-6;QF BLUMENSTIELQ., KARLSBAD;3464770,000000000000000;5411140,000000000000000;8215096,000000000000000;81,000000000000000;2374400000,000000000000000;40,000000000000000;83,000000000000000; ; ;KARLSBAD;BUNTSANDSTEIN;Maisenbach;Oberer Buntsandstein bis Mittlerer Muschelkalk (GWG);#800000000014; ;312
18;1/314-4;QF BUCHBRUNNENQ., HAITERBACH;3474990,000000000000000;5378900,000000000000000;8235032,000000000000000;72,000000000000000;2384445000,000000000000000;40,000000000000000;93,000000000000000; ; ;HAITERBACH, STADT;MUSCHELKALK;Waldach unterh. Vörbächle oberh. Heiterbach;Oberer Buntsandstein bis Mittlerer Muschelkalk (GWG);#800000000010;#800000000002;231
19;1/316-0;BR WV, HOLZHAUSEN;3474545,000000000000000;5359175,000000000000000;8325057,000000000000000;72,000000000000000;2381179000,000000000000000;27,000000000000000;175,000000000000000; ; ;SULZ AM NECKAR, STADT;MUSCHELKALK;Neckar unterh. Irslenbach oberh. Mühlbach;Unterkeuper und Gipskeuper (GWL);#800000000018; ;311
20;1/318-5;QF I KECKQU.,  DEISSLINGEN;3468550,000000000000000;5329480,000000000000000;8325072,000000000000000;72,000000000000000;2381119000,000000000000000;27,000000000000000;201,000000000000000; ; ;DEIßLINGEN;MUSCHELKALK;Neckar unterh. Weigenbach oberh. Eschach;Unterkeuper und Gipskeuper (GWL);#800000000012; ;312
21;1/319-8;BBR METALL-JAECKLE, SCHWENN.;3465580,000000000000000;5324760,000000000000000;8326074,000000000000000;72,000000000000000;2381111000,000000000000000;27,000000000000000;201,000000000000000; ; ;VILLINGEN-SCHWENNINGEN, STADT;MUSCHELKALK;Neckar oberhalb von Mühlbach;Unterkeuper und Gipskeuper (GWL);#800000000011; ;111
22;1/320-7;QF GUTTERQU., DONAUESCHINGEN;3463550,000000000000000;5311910,000000000000000;8326012,000000000000000;72,000000000000000;1113100000,000000000000000;3,000000000000000;175,000000000000000; ; ;DONAUESCHINGEN, STADT;MUSCHELKALK;Donau unterh. Brigach oberh. Kötach;Quartäre Kiese und Sande (GWL);#800000000010;#800000000002;231
23;1/363-0;QF TALQUELLE, GUELTLINGEN;3484460,000000000000000;5390140,000000000000000;8235080,000000000000000;72,000000000000000;2384454000,000000000000000;31,000000000000000;157,000000000000000; ; ;WILDBERG, STADT;MUSCHELKALK;Agenbach;Oberer Muschelkalk (GWL);#800000000018; ;312
24;1/364-2;QF 2, GEW.WEIDACH, JETTINGEN;3485470,000000000000000;5381650,000000000000000;8115053,000000000000000;71,000000000000000;2381612000,000000000000000;27,000000000000000;167,000000000000000; ; ;JETTINGEN;LETTENKEUPER;Schmalbach;Unterkeuper und Gipskeuper (GWL);#800000000012; ;231
25;1/367-0;9 QUELLEN 2 SSCH MISCHWASSE;3485600,000000000000000;5342300,000000000000000;8417016,000000000000000;31,000000000000000;2381440000,000000000000000;10,000000000000000;28,000000000000000; ; ;DOTTERNHAUSEN;MALM WEIßJURA (SCHWÄBISCHE ALB);Steinach;Oberjura (Schwäbische Fazies) (GWL);#800000000014; ;313
26;1/369-6;SBR KLAERANLAGE, WEILHEIM;3483450,000000000000000;5320120,000000000000000;8327056,000000000000000;2,000000000000000;1114400000,000000000000000;3,000000000000000;175,000000000000000; ; ;RIETHEIM-WEILHEIM;QUARTÄR TALFÜLLUNGEN;Faulenbach;Quartäre Kiese und Sande (GWL);#800000000013; ;231
27;1/370-5;QF SCHMIEDSBRUNNEN, IMMENDINGEN;3476710,000000000000000;5315070,000000000000000;8327025,000000000000000;31,000000000000000;1113600000,000000000000000;17,000000000000000;87,000000000000000; ; ;IMMENDINGEN;MALM WEIßJURA (SCHWÄBISCHE ALB);Weissenbach;Unterjura und Mitteljura (GWG);#800000000010; ;311
28;1/407-3;BR HELMHOF, NECKARBISCHOFSH.;3499880,000000000000000;5459850,000000000000000;8226055,000000000000000;72,000000000000000;2389866000,000000000000000;3,000000000000000;26,000000000000000; ; ;NECKARBISCHOFSHEIM, STADT;MUSCHELKALK;Krebsbach;Quartäre Kiese und Sande (GWL);#800000000014; ;231
29;1/408-2;TB 3 WASSERWERK SULZFELD;3491180,000000000000000;5443360,000000000000000;8215082,000000000000000;99,000000000000000;2389810000,000000000000000;27,000000000000000;80,000000000000000; ; ;SULZFELD;MISCHWASSER, MEHRERE AQUIFERE;Elsenz oberhalb von Hilsbach;Unterkeuper und Gipskeuper (GWL);#800000000014; ;211
30;1/415-1;QF BRONNBACHQ., ROTTENBURG;3493030,000000000000000;5370120,000000000000000;8416036,000000000000000;72,000000000000000;2381550000,000000000000000;3,000000000000000;16,000000000000000; ; ;ROTTENBURG AM NECKAR, STADT;MUSCHELKALK;Neckar unterh. Katzenbach oberh. Bühlertalbach;Quartäre Kiese und Sande (GWL);#800000000005; ;311
31;1/416-4;SBR RUEB4, RANGENDINGEN;3491520,000000000000000;5360710,000000000000000;8417051,000000000000000;71,000000000000000;2381527000,000000000000000;3,000000000000000;16,000000000000000; ; ;RANGENDINGEN;LETTENKEUPER;Starzel unterh. Zimmerbach oberh. Bruckbach;Quartäre Kiese und Sande (GWL);#800000000013; ;231
32;1/418-0;QF WESTL. GALGENQUELLE, NUSPLINGEN;3491976,000000000000000;5330145,000000000000000;8417045,000000000000000;31,000000000000000;1116290000,000000000000000;3,000000000000000;175,000000000000000; ; ;NUSPLINGEN;MALM WEIßJURA (SCHWÄBISCHE ALB);Obere Bära unterhalb von Burtelbach;Quartäre Kiese und Sande (GWL);#800000000010;#800000000002;313
33;1/420-1;BBR GERHARDSBR.,MUEHLINGEN;3498640,000000000000000;5309600,000000000000000;8335057,000000000000000;6,000000000000000;2159220000,000000000000000;2,000000000000000;36,000000000000000; ; ;MÜHLINGEN;QUARTÄR EISZEITL.KIESE+SANDE, MORÄNENÜBERD. (ALPENV);Mühlbach;Quartäre Becken- und Moränensedimente (GWG);#800000000010; ;312
34;1/423-0;TB HORN, HORN;3499360,000000000000000;5283760,000000000000000;8335025,000000000000000;24,000000000000000;2173150000,000000000000000;2,000000000000000;140,000000000000000; ; ;GAIENHOFEN;(TIEF) TERTIÄR MIOZÄN, OBERE MEERESMOLASSE (ALPENV);Rhein unterh. Nettenbach oberh. Tobel;Quartäre Becken- und Moränensedimente (GWG);#800000000011; ;112
35;1/456-5;BR GEW.SAUBERG,HELMS.-BARGEN;3502370,000000000000000;5463290,000000000000000;8226106,000000000000000;72,000000000000000;2389864600,000000000000000;31,000000000000000;47,000000000000000; ; ;HELMSTADT-BARGEN;MUSCHELKALK;Gäulbach;Oberer Muschelkalk (GWL);#800000000014; ;211
36;1/464-7;QF QUELLE E, BEBENHAUSEN;3502420,000000000000000;5381660,000000000000000;8416041,000000000000000;51,000000000000000;2381685000,000000000000000;25,000000000000000;111,000000000000000; ; ;TÜBINGEN, UNIVERSITÄTSSTADT;HÖHERER KEUPER (KEUPERBERGLAND);Goldersbach unterh. Kleiner Goldersbach oberh. Arenbach;Mittelkeuper und Oberkeuper (GWL);#800000000010;#800000000002;311
37;1/467-5;QF EHESTETTERQ,ALBST.EBINGEN;3503760,000000000000000;5340130,000000000000000;8417079,000000000000000;31,000000000000000;1118300000,000000000000000;10,000000000000000;3,000000000000000; ; ;ALBSTADT, STADT;MALM WEIßJURA (SCHWÄBISCHE ALB);Schmeie unterh. Reichenbach oberh. Gänsbrunnen;Oberjura (Schwäbische Fazies) (GWL);#800000000010;#800000000002;121
38;1/469-0;QF LEITISHOFEN, MESSKIRCH;3511920,000000000000000;5318390,000000000000000;8437078,000000000000000;5,000000000000000;1132500000,000000000000000;4,000000000000000;30,000000000000000; ; ;MEßKIRCH, STADT;QUARTÄR EISZEITL.KIESE+SANDE (ALBSÜDRAND, ALPENV.);Ablach unterh. Heudorfer Dorfbach oberh. Ringgenbach;Quartäre Kiese und Sande unter Moränensedimenten (GWL);#800000000012; ;112
39;1/471-2;QF BRUNNENBACHTOBEL, MUEHLINGEN;3503780,000000000000000;5306250,000000000000000;8335057,000000000000000;22,000000000000000;2159210000,000000000000000;7,000000000000000;78,000000000000000; ; ;MÜHLINGEN;TERTIÄR (ALBSÜDRAND UND ALPENVORLAND);Stockacher Aach oberhalb von Mühlbach;Obere Meeresmolasse (GWL);#800000000010;#800000000002;312
40;1/515-6;BBR 3 ALBGR. XIV,UNTERHAUSEN;3519000,000000000000000;5366480,000000000000000;8415092,000000000000000;2,000000000000000;2381721000,000000000000000;10,000000000000000;3,000000000000000; ; ;LICHTENSTEIN;QUARTÄR TALFÜLLUNGEN;Echaz oberhalb von Stahleckerbach;Oberjura (Schwäbische Fazies) (GWL);#800000000011; ;112
41;1/516-9;BBR I SELKACHTAL, TROCHTELF.;3518600,000000000000000;5353125,000000000000000;8415073,000000000000000;31,000000000000000;1122000000,000000000000000;3,000000000000000;157,000000000000000; ; ;TROCHTELFINGEN, STADT;MALM WEIßJURA (SCHWÄBISCHE ALB);Seckach;Quartäre Kiese und Sande (GWL);#800000000014; ;231
42;1/519-7;SBR MENGEN, ROSNA;3524750,000000000000000;5318850,000000000000000;8437076,000000000000000;7,000000000000000;1133250000,000000000000000;3,000000000000000;157,000000000000000; ; ;MENGEN, STADT;QUARTÄR MORÄNEN (ALPENVORLAND);Ostrach unterh. Störenbach oberh. Färbebach;Quartäre Kiese und Sande (GWL);#800000000014; ;231
43;1/521-9;FB PRAKLA-B. 244-106,AACH-L.;3516300,000000000000000;5304150,000000000000000;8437088,000000000000000;22,000000000000000;2156100000,000000000000000;2,000000000000000;2,000000000000000; ; ;PFULLENDORF, STADT;TERTIÄR (ALBSÜDRAND UND ALPENVORLAND);Seefelder Aach oberhalb von Furtbach;Quartäre Becken- und Moränensedimente (GWG);#800000000020; ;312
44;1/522-1;TB II, UEBERLINGEN-NUSSDORF;3514980,000000000000000;5290360,000000000000000;8435059,000000000000000;24,000000000000000;2159990000,000000000000000;2,000000000000000;2,000000000000000; ; ;ÜBERLINGEN, STADT;(TIEF) TERTIÄR MIOZÄN, OBERE MEERESMOLASSE (ALPENV);Rhein unterhalb von Riedbach;Quartäre Becken- und Moränensedimente (GWG);#800000000010; ;112
45;1/523-4;BBR I THERMALWASSER, KONSTANZ;3516050,000000000000000;5280880,000000000000000;8335043,000000000000000;24,000000000000000;2159990000,000000000000000;0,000000000000000;0,000000000000000; ; ;KONSTANZ, UNIVERSITÄTSSTADT;(TIEF) TERTIÄR MIOZÄN, OBERE MEERESMOLASSE (ALPENV);Rhein unterhalb von Riedbach; ;#800000000010; ;112
46;1/557-6;QF SEEWIESEN RECHTER ZULAUF, HARTHAUSEN;3528510,000000000000000;5460350,000000000000000;8125111,000000000000000;71,000000000000000;2386794000,000000000000000;27,000000000000000;87,000000000000000; ; ;HARDTHAUSEN AM KOCHER;LETTENKEUPER;Steinbach;Unterkeuper und Gipskeuper (GWL);#800000000010;#800000000002;311
47;1/558-9;QF QU.1, OBERSULM EICHELBERG;3530490,000000000000000;5441300,000000000000000;8125110,000000000000000;51,000000000000000;2385820000,000000000000000;25,000000000000000;14,000000000000000; ; ;OBERSULM;HÖHERER KEUPER (KEUPERBERGLAND);Michelbach;Mittelkeuper und Oberkeuper (GWL);#800000000010;#800000000002;311
48;1/560-0;QF HAEUSSERMANNQ., OPPENWEIL;3535760,000000000000000;5427030,000000000000000;8119053,000000000000000;51,000000000000000;2383830000,000000000000000;25,000000000000000;14,000000000000000; ; ;OPPENWEILER;HÖHERER KEUPER (KEUPERBERGLAND);Murr unterh. Lauter oberh. Weißach;Mittelkeuper und Oberkeuper (GWL);#800000000010;#800000000002;311
49;1/563-9;SBR GOLDMORGEN, DETTINGEN;3533400,000000000000000;5385610,000000000000000;8116016,000000000000000;2,000000000000000;2381941000,000000000000000;3,000000000000000;16,000000000000000; ; ;DETTINGEN UNTER TECK;QUARTÄR TALFÜLLUNGEN;Lauter oberhalb von Lindach;Quartäre Kiese und Sande (GWL);#800000000014; ;112
50;1/567-0;QF STAEUDENQU., ZWIEFALTEN;3535690,000000000000000;5345500,000000000000000;8415085,000000000000000;22,000000000000000;1133850000,000000000000000;10,000000000000000;3,000000000000000; ; ;ZWIEFALTEN;TERTIÄR (ALBSÜDRAND UND ALPENVORLAND);Zwiefalter Ach unterh. Kesselau oberh. Ganstal;Oberjura (Schwäbische Fazies) (GWL);#800000000010;#800000000002;231
51;1/569-0;118 ERTINGEN;3532860,000000000000000;5328870,000000000000000;8426045,000000000000000;97,000000000000000;1133529000,000000000000000;3,000000000000000;157,000000000000000; ; ;ERTINGEN;NOCH NICHT BEARBEITET;Schwarzach unterhalb von Sodenbach;Quartäre Kiese und Sande (GWL); ;#800000000001;231
52;1/571-7;QF NEUBRUNN, ILLMENSEE;3524940,000000000000000;5305540,000000000000000;8437056,000000000000000;7,000000000000000;1132813000,000000000000000;4,000000000000000;51,000000000000000; ; ;ILLMENSEE;QUARTÄR MORÄNEN (ALPENVORLAND);Andelsbach unterh. Krumbach oberh. Mottschießer Graben;Quartäre Kiese und Sande unter Moränensedimenten (GWL);#800000000012; ;211
53;1/572-0;QF STEFANSBR.,  MARKDORF;3531500,000000000000000;5287900,000000000000000;8435034,000000000000000;22,000000000000000;2155920000,000000000000000;2,000000000000000;2,000000000000000; ; ;MARKDORF, STADT;TERTIÄR (ALBSÜDRAND UND ALPENVORLAND);Brunnisaach;Quartäre Becken- und Moränensedimente (GWG);#800000000010;#800000000002;313
54;1/606-0;QF I RUEBBR., RAVENSTEIN-MERCHINGEN;3536480,000000000000000;5472820,000000000000000;8225114,000000000000000;72,000000000000000;2388527000,000000000000000;31,000000000000000;14,000000000000000; ; ;RAVENSTEIN, STADT;MUSCHELKALK;Kessach unterh. Hackgraben oberh. Hahnengraben;Oberer Muschelkalk (GWL);#800000000012; ;231
55;1/619-1;BBR 13.2, BAD BUCHAU;3545220,000000000000000;5325460,000000000000000;8426013,000000000000000;32,000000000000000;1133610000,000000000000000;2,000000000000000;33,000000000000000; ; ;BAD BUCHAU, STADT;(TIEF) MALM (ALPENVORLAND);Kanzach oberhalb von Bierstetter Bach;Quartäre Becken- und Moränensedimente (GWG);#800000000010; ;112
56;1/621-3;FB BRUNNEN, BAINDT;3549030,000000000000000;5300500,000000000000000;8436012,000000000000000;24,000000000000000;2154540000,000000000000000;2,000000000000000;2,000000000000000; ; ;BAINDT;(TIEF) TERTIÄR MIOZÄN, OBERE MEERESMOLASSE (ALPENV);Bampfen;Quartäre Becken- und Moränensedimente (GWG);#800000000010;#800000000002;231
57;1/622-6;HBR KAMMERBRUEHL, RAVENSBURG;3546045,000000000000000;5295785,000000000000000;8436064,000000000000000;6,000000000000000;2154730000,000000000000000;2,000000000000000;2,000000000000000; ; ;RAVENSBURG, STADT;QUARTÄR EISZEITL.KIESE+SANDE, MORÄNENÜBERD. (ALPENV);Schussen unterh. Scherzach oberh. Flattbach;Quartäre Becken- und Moränensedimente (GWG);#800000000013; ;231
58;1/623-9;QF BRUDERHAUS, HAGENBUCHEN;3543580,000000000000000;5279290,000000000000000;8435057,000000000000000;5,000000000000000;2154900000,000000000000000;3,000000000000000;267,000000000000000; ; ;TETTNANG, STADT;QUARTÄR EISZEITL.KIESE+SANDE (ALBSÜDRAND, ALPENV.);Schussen unterhalb von Schwarzach;Quartäre Kiese und Sande (GWL);#800000000010;#800000000002;313
59;1/657-0;SBR KLAERANLAGE, KUENZELSAU;3549655,000000000000000;5460855,000000000000000;8126046,000000000000000;2,000000000000000;2386719000,000000000000000;3,000000000000000;16,000000000000000; ; ;KÜNZELSAU, STADT;QUARTÄR TALFÜLLUNGEN;Kocher unterh. Künzbach oberh. Deutbach;Quartäre Kiese und Sande (GWL);#800000000017; ;112
60;1/659-6;QF SCHNECKENBR.,  MICHELBACH;3557490,000000000000000;5435860,000000000000000;8127056,000000000000000;51,000000000000000;2386530000,000000000000000;25,000000000000000;43,000000000000000; ; ;MICHELBACH AN DER BILZ;HÖHERER KEUPER (KEUPERBERGLAND);Kocher unterh. Steppach oberh. Bibers;Mittelkeuper und Oberkeuper (GWL);#800000000010;#800000000002;311
61;1/660-5;QF VORDERE SEEQ., SULZBACH-GAILDORF;3559420,000000000000000;5423910,000000000000000;8127079,000000000000000;51,000000000000000;2386390000,000000000000000;25,000000000000000;14,000000000000000; ; ;SULZBACH-LAUFEN;HÖHERER KEUPER (KEUPERBERGLAND);Kocher unterh. Eisbach oberh. Fichtenberger Rot;Mittelkeuper und Oberkeuper (GWL);#800000000010;#800000000002;313
62;1/667-4;TB 2 TIEFER BR., ROTTENACKER;3550260,000000000000000;5344700,000000000000000;8425104,000000000000000;32,000000000000000;1135100000,000000000000000;3,000000000000000;157,000000000000000; ; ;ROTTENACKER;(TIEF) MALM (ALPENVORLAND);Donau unterh. Große Lauter oberh. Stehebach;Quartäre Kiese und Sande (GWL);#800000000010; ;231
63;1/668-7;BR I, ALBERWEILER;3556750,000000000000000;5335300,000000000000000;8426134,000000000000000;5,000000000000000;1136600000,000000000000000;7,000000000000000;25,000000000000000; ; ;SCHEMMERHOFEN;QUARTÄR EISZEITL.KIESE+SANDE (ALBSÜDRAND, ALPENV.);Assmannshardter Mühlbach;Obere Meeresmolasse (GWL);#800000000018;#800000000001;211
64;1/669-0;TB THERMALWASSERB., JORDANB.;3561160,000000000000000;5326780,000000000000000;8426021,000000000000000;32,000000000000000;1136290000,000000000000000;3,000000000000000;157,000000000000000; ; ;BIBERACH AN DER RIß, STADT;(TIEF) MALM (ALPENVORLAND);Umlach unterhalb von Romersbach;Quartäre Kiese und Sande (GWL);#800000000010; ;231
65;1/670-9;QF 4, OSTERHOFEN BAD WALD.;3561625,000000000000000;5310745,000000000000000;8436009,000000000000000;5,000000000000000;1136220000,000000000000000;2,000000000000000;2,000000000000000; ; ;BAD WALDSEE, STADT;QUARTÄR EISZEITL.KIESE+SANDE (ALBSÜDRAND, ALPENV.);Osterhofer Ach;Quartäre Becken- und Moränensedimente (GWG);#800000000010;#800000000002;312
66;1/671-1;QF SCHANZWEIHERQU., BAINDT;3551435,000000000000000;5303745,000000000000000;8436009,000000000000000;6,000000000000000;2154540000,000000000000000;2,000000000000000;2,000000000000000; ; ;BAD WALDSEE, STADT;QUARTÄR EISZEITL.KIESE+SANDE, MORÄNENÜBERD. (ALPENV);Bampfen;Quartäre Becken- und Moränensedimente (GWG);#800000000010;#800000000002;313
67;1/672-4;TB DAMOOS, VOGT;3557060,000000000000000;5294777,000000000000000;8436078,000000000000000;6,000000000000000;2154630000,000000000000000;2,000000000000000;2,000000000000000; ; ;VOGT;QUARTÄR EISZEITL.KIESE+SANDE, MORÄNENÜBERD. (ALPENV);Wolfegger Ach unterh. Argenseebach oberh. Gambach;Quartäre Becken- und Moränensedimente (GWG);#800000000010; ;312
68;1/673-7;TB HAUPTBR 1 BODNEGG, BUCH;3550156,000000000000000;5283147,000000000000000;8436018,000000000000000;5,000000000000000;2154800000,000000000000000;2,000000000000000;2,000000000000000; ; ;BODNEGG;QUARTÄR EISZEITL.KIESE+SANDE (ALBSÜDRAND, ALPENV.);Schwarzach;Quartäre Becken- und Moränensedimente (GWG);#800000000018; ;231
69;1/709-2;QF II EICHELBRUNNEN;3568850,000000000000000;5438060,000000000000000;8127103,000000000000000;51,000000000000000;2386654000,000000000000000;25,000000000000000;43,000000000000000; ; ;FRANKENHARDT;HÖHERER KEUPER (KEUPERBERGLAND);Nesselbach;Mittelkeuper und Oberkeuper (GWL);#800000000005; ;313
70;1/710-1;QF HORGENBRUNNEN, BUEHLERTAL;3569150,000000000000000;5429290,000000000000000;8127013,000000000000000;51,000000000000000;2386620000,000000000000000;25,000000000000000;43,000000000000000; ; ;BÜHLERZELL;HÖHERER KEUPER (KEUPERBERGLAND);Gruppenbach;Mittelkeuper und Oberkeuper (GWL);#800000000010;#800000000002;312
71;1/712-7;QF UNTERE FLOESCHENQ.,HEUBACH;3569940,000000000000000;5405520,000000000000000;8136028,000000000000000;31,000000000000000;2383612000,000000000000000;10,000000000000000;3,000000000000000; ; ;HEUBACH, STADT;MALM WEIßJURA (SCHWÄBISCHE ALB);Lauter;Oberjura (Schwäbische Fazies) (GWL);#800000000010;#800000000002;311
72;1/716-8;GWM KB124 TUNNEL, ULM;3573850,000000000000000;5362647,000000000000000;8421000,000000000000000;5,000000000000000;1153000000,000000000000000;0,000000000000000;0,000000000000000; ; ;ULM, UNIVERSITÄTSSTADT;QUARTÄR EISZEITL.KIESE+SANDE (ALBSÜDRAND, ALPENV.);Donau unterh. Blau oberh. Roth; ;#800000000013; ;111
73;1/719-6;GWM 1/88, STEINHSN A. D. R.;3568910,000000000000000;5320470,000000000000000;8426113,000000000000000;7,000000000000000;1137410000,000000000000000;2,000000000000000;2,000000000000000; ; ;STEINHAUSEN AN DER ROTTUM;QUARTÄR MORÄNEN (ALPENVORLAND);Westernach oberhalb von Untere Rottum;Quartäre Becken- und Moränensedimente (GWG);#800000000012; ;211
74;1/721-8;GWM K1 HAIDGAU-KIMPF.,HAIST;3563460,000000000000000;5306470,000000000000000;8436009,000000000000000;5,000000000000000;1146110000,000000000000000;3,000000000000000;211,000000000000000; ; ;BAD WALDSEE, STADT;QUARTÄR EISZEITL.KIESE+SANDE (ALBSÜDRAND, ALPENV.);Wurzacher Ach oberhalb von Mühlbach;Quartäre Kiese und Sande (GWL);#800000000011;#800000000001;321
