FID;GW_NUMMER;NAME;RECHTSWERT;HOCHWERT;GEMEINDE_K;AQUIFER_KZ;EINZUGSGEB;HYDROGEOLE;HYDROGEOL2;MESSNETZ1_;MESSNETZ2_;GEMEINDE;AQUIFER;EINZUGSGE2;HYDROGEOL3;MESSNETZ1;MESSNETZ2;RASTERVALU
972;16/620-4;GWM 4/06 WOLFSGALG., B.SCH.;3547270,000000000000000;5317906,000000000000000;8426014,000000000000000;7,000000000000000;2154110000,000000000000000;4,000000000000000;5,000000000000000; ; ;BAD SCHUSSENRIED, STADT;QUARTÄR MORÄNEN (ALPENVORLAND);Schussen oberhalb von Aulendorfer Bach;Quartäre Kiese und Sande unter Moränensedimenten (GWL);#800000000012; ;311
973;16/621-7;QSS 8 BERG ATZENHOFEN BERG;3542740,000000000000000;5300025,000000000000000;8436013,000000000000000;97,000000000000000;2154530000,000000000000000;2,000000000000000;2,000000000000000; ; ;BERG;NOCH NICHT BEARBEITET;Schussen unterh. Krummbach oberh. Bampfen;Quartäre Becken- und Moränensedimente (GWG);#800000000014; ;211
974;16/712-0;Q HEUBACH-LAUTERN;3570940,000000000000000;5406195,000000000000000;8136028,000000000000000;31,000000000000000;2383612000,000000000000000;10,000000000000000;3,000000000000000; ; ;HEUBACH, STADT;MALM WEIßJURA (SCHWÄBISCHE ALB);Lauter;Oberjura (Schwäbische Fazies) (GWL);#800000000014; ;311
975;16/715-9;FB FA. KRAEMER, ULM-SOEFLINGEN;3570030,000000000000000;5363120,000000000000000;8421000,000000000000000;2,000000000000000;1152900000,000000000000000;3,000000000000000;157,000000000000000; ; ;ULM, UNIVERSITÄTSSTADT;QUARTÄR TALFÜLLUNGEN;Blau unterhalb von Kleine Lauter;Quartäre Kiese und Sande (GWL);#800000000011; ;121
976;16/720-9;QF MUEHLHALDE, HAUERZ;3573700,000000000000000;5313450,000000000000000;8436010,000000000000000;6,000000000000000;1138100000,000000000000000;2,000000000000000;2,000000000000000; ; ;BAD WURZACH, STADT;QUARTÄR EISZEITL.KIESE+SANDE, MORÄNENÜBERD. (ALPENV);Baierzer Rot oberhalb von Ílbach;Quartäre Becken- und Moränensedimente (GWG);#800000000005; ;231
977;160/020-3;TB A 3 FEW HAUSEN, HAUSEN;3399635,000000000000000;5314135,000000000000000;8315006,000000000000000;4,000000000000000;2336600000,000000000000000;3,000000000000000;8,000000000000000; ; ;BAD KROZINGEN;QUARTÄR EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);"Seltenbach;";Quartäre Kiese und Sande (GWL);#800000000014; ;231
978;160/065-1;GWM 1 NEURIED-ALTENHEIM;3411378,000000000000000;5373276,000000000000000;8317151,000000000000000;4,000000000000000;2338990000,000000000000000;3,000000000000000;8,000000000000000; ; ;NEURIED;QUARTÄR EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Elz unterhalb von Durchgehender Altrheinzug;Quartäre Kiese und Sande (GWL);#800000000012;#800000000001;211
979;160/067-0;GWM 1279 A, OBERHAUSEN;3405711,000000000000000;5343135,000000000000000;8316053,000000000000000;4,000000000000000;2338910000,000000000000000;3,000000000000000;8,000000000000000; ; ;RHEINHAUSEN;QUARTÄR EISZEITL.KIESE+SANDE (OBERRHEINGRABEN);Elz unterh. Biederbach oberh. Bleichbach;Quartäre Kiese und Sande (GWL);#800000000012;#800000000001;231
980;160/070-0;B 8 EHRENKIRCHEN;3405463,000000000000000;5308190,000000000000000;8315131,000000000000000;97,000000000000000;2336300000,000000000000000;3,000000000000000;8,000000000000000; ; ;EHRENKIRCHEN;NOCH NICHT BEARBEITET;Möhlin unterh. Ehrenstetter Ahbach oberh. Neumagen;Quartäre Kiese und Sande (GWL); ;#800000000001;211
981;160/172-1;WASSERWERK ALBTAL GWV HOECH.EL.TB I;3434550,000000000000000;5285720,000000000000000;8337051,000000000000000;91,000000000000000;2312500000,000000000000000;50,000000000000000;18,000000000000000; ; ;HÖCHENSCHWAND;KRISTALLIN (SCHWARZWALD);Hauensteiner Alb unterh. Steinenbächle oberh. Ibach;Paläozoikum, Kristallin (GWG);#800000000014; ;312
