Datetime[UTC],BLM-1[m],Baro[m]
27/06/2009 04:00,5.18463735,9.50308424
27/06/2009 04:15,5.1867445,9.50438864
27/06/2009 04:30,5.18924891,9.50568225
27/06/2009 04:45,5.19095671,9.50754758
27/06/2009 05:00,5.19232914,9.50841885
27/06/2009 05:15,5.19362001,9.50966598
27/06/2009 05:30,5.19357923,9.51060114
27/06/2009 05:45,5.19476745,9.51093222
27/06/2009 06:00,5.19276646,9.51264239
27/06/2009 06:15,5.19111772,9.51490185
27/06/2009 06:30,5.18948866,9.51466122
27/06/2009 06:45,5.18708269,9.51641204
27/06/2009 07:00,5.18449813,9.51850142
27/06/2009 07:15,5.1817132,9.51923162
27/06/2009 07:30,5.17761981,9.52220884
27/06/2009 07:45,5.1737247,9.52382939
27/06/2009 08:00,5.1709025,9.52369413
27/06/2009 08:15,5.16674514,9.52539683
27/06/2009 08:30,5.16390395,9.52632783
27/06/2009 08:45,5.15994486,9.52665808
27/06/2009 09:00,5.15602936,9.52785876
27/06/2009 09:15,5.15249212,9.52917146
27/06/2009 09:30,5.14847818,9.53034891
27/06/2009 09:45,5.14494024,9.53054805
27/06/2009 10:00,5.14132144,9.53268058
27/06/2009 10:15,5.13927475,9.53290461
27/06/2009 10:30,5.13595054,9.53404471
27/06/2009 10:45,5.13326755,9.53586774
27/06/2009 11:00,5.13042989,9.53769738
27/06/2009 11:15,5.12951095,9.53720117
27/06/2009 11:30,5.12810055,9.53716217
27/06/2009 11:45,5.12771948,9.53803592
27/06/2009 12:00,5.12634846,9.53964569
27/06/2009 12:15,5.12499782,9.5440468
27/06/2009 12:30,5.12271278,9.54535702
27/06/2009 12:45,5.12231413,9.54898312
27/06/2009 13:00,5.12301019,9.55102768
27/06/2009 13:15,5.12420544,9.55120941
27/06/2009 13:30,5.12517851,9.5515579
27/06/2009 13:45,5.12652774,9.55363565
27/06/2009 14:00,5.12855897,9.55488446
27/06/2009 14:15,5.12889645,9.55708336
27/06/2009 14:30,5.12967055,9.55890306
27/06/2009 14:45,5.13233245,9.5594532
27/06/2009 15:00,5.13279156,9.55924244
27/06/2009 15:15,5.13485864,9.56146622
27/06/2009 15:30,5.13647012,9.56195496
27/06/2009 15:45,5.13736445,9.56182967
27/06/2009 16:00,5.13970996,9.56297558
27/06/2009 16:15,5.14221647,9.56202715
